meter_id,zone,date,theft_label,supervised_probability,isolation_probability,blended_probability,predicted_theft
BSCM-000333,BTM Layout,2024-12-20,1,0.99843,0.12822,0.73737,1
BSCM-000282,Hebbal,2024-10-20,1,0.99407,0.13192,0.73542,1
BSCM-000441,Whitefield,2024-08-22,1,0.99855,0.11792,0.73436,1
BSCM-000182,Electronic City,2024-09-27,1,0.9985,0.11691,0.73402,1
BSCM-000456,Whitefield,2024-10-14,1,0.99414,0.12398,0.73309,1
BSCM-000174,Yelahanka,2024-11-14,1,0.99401,0.1241,0.73304,1
BSCM-000302,Rajajinagar,2024-10-10,1,0.99849,0.11135,0.73235,1
BSCM-000070,Whitefield,2024-08-21,1,0.99854,0.10457,0.73035,1
BSCM-000117,Indiranagar,2024-10-08,1,0.98891,0.12499,0.72974,1
BSCM-000018,Marathahalli,2024-11-23,1,0.9983,0.09918,0.72856,1
BSCM-000132,BTM Layout,2024-10-05,1,0.99398,0.10909,0.72851,1
BSCM-000376,BTM Layout,2024-12-05,1,0.99392,0.1087,0.72836,1
BSCM-000363,Jayanagar,2024-08-16,1,0.99838,0.09782,0.72821,1
BSCM-000406,Whitefield,2024-11-17,1,0.72749,0.72692,0.72732,1
BSCM-000025,Hebbal,2024-12-29,1,0.98509,0.12366,0.72666,1
BSCM-000335,Whitefield,2024-12-31,1,0.98537,0.12197,0.72635,1
BSCM-000353,Electronic City,2024-09-23,1,0.98936,0.10211,0.72318,1
BSCM-000334,Rajajinagar,2024-09-17,1,0.98815,0.10054,0.72187,1
BSCM-000272,Whitefield,2024-12-01,1,0.98506,0.10493,0.72102,1
BSCM-000490,Marathahalli,2024-08-20,1,0.91457,0.25843,0.71773,1
BSCM-000038,Whitefield,2024-09-22,1,0.96191,0.13922,0.71511,1
BSCM-000480,Marathahalli,2024-12-31,1,0.97543,0.1041,0.71403,1
BSCM-000472,Whitefield,2024-08-16,1,0.97424,0.09955,0.71183,1
BSCM-000018,Marathahalli,2024-09-12,1,0.97027,0.09977,0.70912,1
BSCM-000018,Marathahalli,2024-10-18,1,0.93961,0.16935,0.70853,1
BSCM-000321,Hebbal,2024-08-28,1,0.96543,0.09372,0.70392,1
BSCM-000087,Jayanagar,2024-11-07,1,0.90787,0.22767,0.70381,1
BSCM-000093,Indiranagar,2024-09-30,1,0.96635,0.08879,0.70308,1
BSCM-000263,Indiranagar,2024-08-21,1,0.9128,0.21117,0.70231,1
BSCM-000358,Indiranagar,2024-08-08,1,0.95723,0.09893,0.69974,1
BSCM-000429,Koramangala,2024-12-03,1,0.93996,0.1271,0.6961,1
BSCM-000223,Jayanagar,2024-11-04,1,0.93937,0.12245,0.69429,1
BSCM-000183,BTM Layout,2024-09-06,1,0.83996,0.35071,0.69318,1
BSCM-000105,Rajajinagar,2024-11-26,1,0.85482,0.31062,0.69156,1
BSCM-000410,Indiranagar,2024-12-14,1,0.92997,0.13417,0.69123,1
BSCM-000490,Marathahalli,2024-11-18,1,0.8022,0.43022,0.6906,1
BSCM-000030,Whitefield,2024-10-08,1,0.93662,0.11322,0.6896,1
BSCM-000027,Yelahanka,2024-09-17,1,0.93712,0.10981,0.68893,1
BSCM-000317,Whitefield,2024-11-24,1,0.94579,0.08702,0.68816,1
BSCM-000466,Koramangala,2024-12-09,1,0.93273,0.11649,0.68786,1
BSCM-000046,Hebbal,2024-11-14,1,0.91342,0.15491,0.68587,1
BSCM-000155,Jayanagar,2024-08-19,1,0.93438,0.09374,0.68218,1
BSCM-000407,Electronic City,2024-11-30,1,0.93535,0.08973,0.68166,1
BSCM-000302,Rajajinagar,2024-11-29,1,0.9168,0.13049,0.68091,1
BSCM-000083,Electronic City,2024-09-29,1,0.92307,0.10924,0.67892,1
BSCM-000455,Indiranagar,2024-10-04,1,0.9025,0.15232,0.67745,1
BSCM-000210,Yelahanka,2024-10-19,1,0.90948,0.13306,0.67655,1
BSCM-000357,Indiranagar,2024-08-11,1,0.93373,0.07456,0.67598,1
BSCM-000368,Rajajinagar,2024-12-13,1,0.85212,0.25973,0.6744,1
BSCM-000057,Whitefield,2024-09-17,1,0.91694,0.102,0.67246,1
BSCM-000439,Indiranagar,2024-10-10,1,0.90692,0.12188,0.67141,1
BSCM-000094,Marathahalli,2024-08-26,1,0.90703,0.11348,0.66897,1
BSCM-000438,Hebbal,2024-09-08,0,0.84116,0.26278,0.66764,1
BSCM-000069,Koramangala,2024-11-21,1,0.91695,0.08587,0.66763,1
BSCM-000093,Indiranagar,2024-09-06,1,0.89286,0.14103,0.66731,1
BSCM-000366,BTM Layout,2024-08-17,1,0.90442,0.11165,0.66659,1
BSCM-000020,Whitefield,2024-08-24,1,0.90355,0.10956,0.66535,1
BSCM-000336,Rajajinagar,2024-08-14,1,0.92301,0.06246,0.66484,1
BSCM-000409,Jayanagar,2024-12-17,1,0.79759,0.34959,0.66319,1
BSCM-000266,Marathahalli,2024-10-14,0,0.80073,0.33902,0.66222,1
BSCM-000221,Yelahanka,2024-09-20,0,0.78708,0.36805,0.66137,1
BSCM-000132,BTM Layout,2024-08-31,1,0.90295,0.09648,0.66101,1
BSCM-000058,Whitefield,2024-08-14,1,0.89673,0.10166,0.65821,1
BSCM-000492,Whitefield,2024-08-21,0,0.87323,0.15533,0.65786,1
BSCM-000279,Marathahalli,2024-12-20,1,0.88469,0.11641,0.6542,1
BSCM-000410,Indiranagar,2024-11-13,1,0.88119,0.11193,0.65041,1
BSCM-000040,Hebbal,2024-11-23,1,0.82634,0.23362,0.64852,1
BSCM-000325,Marathahalli,2024-08-18,1,0.88238,0.09934,0.64747,1
BSCM-000038,Whitefield,2024-11-17,1,0.88504,0.0724,0.64125,1
BSCM-000230,Koramangala,2024-11-07,0,0.77609,0.30688,0.63532,1
BSCM-000076,Hebbal,2024-10-25,1,0.84638,0.13467,0.63287,1
BSCM-000476,Rajajinagar,2024-09-23,0,0.83931,0.14978,0.63245,1
BSCM-000322,Indiranagar,2024-11-21,0,0.84159,0.14079,0.63135,1
BSCM-000291,Indiranagar,2024-08-19,1,0.84483,0.13266,0.63118,1
BSCM-000342,Hebbal,2024-09-20,0,0.83403,0.15762,0.6311,1
BSCM-000434,Yelahanka,2024-12-30,1,0.85858,0.09713,0.63014,1
BSCM-000232,Rajajinagar,2024-09-13,1,0.8513,0.107,0.62801,1
BSCM-000061,Indiranagar,2024-09-04,1,0.85535,0.09405,0.62696,1
BSCM-000323,Indiranagar,2024-10-19,1,0.8461,0.114,0.62647,1
BSCM-000415,BTM Layout,2024-12-15,1,0.84069,0.126,0.62628,1
BSCM-000362,Jayanagar,2024-12-06,0,0.82524,0.1604,0.62579,1
BSCM-000491,Indiranagar,2024-12-16,1,0.83101,0.13934,0.62351,1
BSCM-000024,Whitefield,2024-11-07,1,0.83673,0.12248,0.62245,1
BSCM-000266,Marathahalli,2024-09-11,1,0.82899,0.12801,0.6187,1
BSCM-000095,BTM Layout,2024-11-17,0,0.8036,0.18339,0.61754,1
BSCM-000454,Electronic City,2024-08-15,1,0.71242,0.3954,0.61732,1
BSCM-000132,BTM Layout,2024-10-25,1,0.8454,0.08362,0.61687,1
BSCM-000462,Jayanagar,2024-10-13,0,0.72691,0.35824,0.61631,1
BSCM-000239,Yelahanka,2024-08-15,0,0.81669,0.14614,0.61552,1
BSCM-000382,Rajajinagar,2024-12-12,0,0.84137,0.08209,0.61358,1
BSCM-000155,Jayanagar,2024-12-16,1,0.82903,0.10126,0.6107,1
BSCM-000266,Marathahalli,2024-11-16,1,0.80878,0.14175,0.60867,1
BSCM-000473,Koramangala,2024-11-05,1,0.81153,0.12414,0.60532,1
BSCM-000181,Marathahalli,2024-10-17,1,0.82202,0.09435,0.60372,1
BSCM-000407,Electronic City,2024-11-05,1,0.83443,0.06204,0.60271,1
BSCM-000392,Electronic City,2024-08-22,1,0.81476,0.10366,0.60143,1
BSCM-000451,Whitefield,2024-09-17,1,0.80372,0.12292,0.59948,1
BSCM-000212,Hebbal,2024-08-26,0,0.69876,0.36187,0.59769,1
BSCM-000463,Whitefield,2024-09-20,1,0.80324,0.11785,0.59762,1
BSCM-000456,Whitefield,2024-12-02,0,0.82273,0.06899,0.59661,1
BSCM-000115,Marathahalli,2024-11-26,0,0.71467,0.30793,0.59265,1
BSCM-000405,Yelahanka,2024-09-16,1,0.79847,0.10537,0.59054,1
BSCM-000484,Jayanagar,2024-12-25,1,0.79608,0.11068,0.59046,1
BSCM-000118,Rajajinagar,2024-12-01,1,0.80038,0.10038,0.59038,1
BSCM-000102,Whitefield,2024-10-13,1,0.74305,0.23227,0.58982,1
BSCM-000324,Jayanagar,2024-09-05,1,0.79451,0.11116,0.58951,1
BSCM-000323,Indiranagar,2024-12-03,1,0.73789,0.23923,0.58829,1
BSCM-000173,Jayanagar,2024-12-11,1,0.80623,0.0788,0.588,1
BSCM-000119,Indiranagar,2024-08-24,1,0.73498,0.23419,0.58474,1
BSCM-000409,Jayanagar,2024-10-27,1,0.73464,0.21705,0.57936,1
BSCM-000415,BTM Layout,2024-10-26,1,0.77725,0.10613,0.57591,1
BSCM-000210,Yelahanka,2024-11-13,0,0.77162,0.10321,0.5711,1
BSCM-000012,Yelahanka,2024-11-20,1,0.7687,0.10837,0.5706,1
BSCM-000358,Indiranagar,2024-09-02,1,0.74991,0.11653,0.5599,1
BSCM-000018,Marathahalli,2024-09-08,1,0.75949,0.09147,0.55908,1
BSCM-000010,Jayanagar,2024-09-19,0,0.70287,0.21384,0.55616,1
BSCM-000194,Electronic City,2024-08-10,1,0.69961,0.21659,0.5547,1
BSCM-000012,Yelahanka,2024-12-18,1,0.75698,0.08203,0.5545,1
BSCM-000432,Electronic City,2024-11-21,1,0.72894,0.1273,0.54845,1
BSCM-000125,Koramangala,2024-11-01,0,0.74001,0.09494,0.54649,1
BSCM-000490,Marathahalli,2024-09-01,0,0.4947,0.66442,0.54561,1
BSCM-000145,Yelahanka,2024-11-02,1,0.739,0.09074,0.54453,1
BSCM-000169,Koramangala,2024-09-29,1,0.71851,0.13457,0.54333,1
BSCM-000078,Koramangala,2024-09-10,1,0.72831,0.111,0.54311,1
BSCM-000330,Marathahalli,2024-09-06,1,0.72242,0.09892,0.53537,1
BSCM-000382,Rajajinagar,2024-08-24,0,0.70706,0.13287,0.5348,1
BSCM-000169,Koramangala,2024-10-11,0,0.70787,0.12798,0.5339,1
BSCM-000064,BTM Layout,2024-09-11,1,0.72034,0.0945,0.53259,1
BSCM-000278,Electronic City,2024-12-17,0,0.61682,0.33464,0.53217,1
BSCM-000204,Rajajinagar,2024-11-04,0,0.49637,0.6108,0.53069,1
BSCM-000382,Rajajinagar,2024-12-25,0,0.69548,0.13259,0.52661,1
BSCM-000473,Koramangala,2024-08-23,0,0.71651,0.08001,0.52556,1
BSCM-000230,Koramangala,2024-10-05,1,0.71068,0.09163,0.52496,1
BSCM-000078,Koramangala,2024-12-12,0,0.71624,0.07693,0.52445,1
BSCM-000010,Jayanagar,2024-11-25,1,0.69776,0.11455,0.5228,1
BSCM-000281,Whitefield,2024-12-10,0,0.59189,0.36122,0.52269,1
BSCM-000186,Rajajinagar,2024-09-25,1,0.70066,0.10601,0.52227,1
BSCM-000254,Whitefield,2024-12-06,1,0.69996,0.10459,0.52135,1
BSCM-000204,Rajajinagar,2024-10-21,0,0.53701,0.47426,0.51818,1
BSCM-000076,Hebbal,2024-11-13,0,0.66313,0.12966,0.50309,1
BSCM-000452,Rajajinagar,2024-09-15,1,0.61304,0.2351,0.49966,0
BSCM-000385,Indiranagar,2024-10-20,1,0.66775,0.10124,0.4978,0
BSCM-000376,BTM Layout,2024-12-24,0,0.66835,0.09607,0.49666,0
BSCM-000031,Koramangala,2024-12-07,1,0.65676,0.11139,0.49315,0
BSCM-000085,Koramangala,2024-11-02,1,0.65618,0.10153,0.48978,0
BSCM-000465,Jayanagar,2024-08-18,0,0.65664,0.09774,0.48897,0
BSCM-000146,Yelahanka,2024-10-30,0,0.60115,0.22544,0.48844,0
BSCM-000095,BTM Layout,2024-09-15,0,0.63806,0.13685,0.48769,0
BSCM-000342,Hebbal,2024-12-06,0,0.65991,0.08026,0.48601,0
BSCM-000176,Hebbal,2024-12-01,0,0.65511,0.08867,0.48518,0
