forecast_date,zone,actual_mw,p10_mw,p50_mw,p90_mw,conformal_lower_mw,conformal_upper_mw
2024-12-20,Whitefield,43.39,42.991,43.472,43.49,40.123,46.821
2024-12-20,Koramangala,37.35,37.003,38.23,41.735,34.881,41.579
2024-12-20,Jayanagar,38.95,38.611,38.553,42.312,35.204,41.902
2024-12-20,Rajajinagar,43.56,43.294,43.428,44.22,40.079,46.777
2024-12-20,Hebbal,37.05,36.808,37.994,42.844,34.645,41.343
2024-12-20,Electronic City,35.42,35.205,36.182,41.834,32.833,39.531
2024-12-20,Marathahalli,38.94,38.981,39.187,41.884,35.838,42.536
2024-12-20,Indiranagar,44.37,43.046,44.422,44.616,41.073,47.771
2024-12-20,Yelahanka,40.76,40.528,40.388,41.342,37.039,43.737
2024-12-20,BTM Layout,44.19,44.113,43.928,44.854,40.579,47.277
2024-12-21,Whitefield,43.7,43.403,43.551,44.182,40.202,46.9
2024-12-21,Koramangala,40.28,39.955,40.241,40.943,36.892,43.59
2024-12-21,Jayanagar,41.39,41.374,41.419,42.242,38.07,44.768
2024-12-21,Rajajinagar,39.26,39.365,39.325,43.009,35.976,42.674
2024-12-21,Hebbal,37.27,37.228,38.096,41.884,34.747,41.445
2024-12-21,Electronic City,43.61,43.324,44.071,43.296,40.722,47.42
2024-12-21,Marathahalli,36.46,36.052,36.563,40.947,33.214,39.912
2024-12-21,Indiranagar,43.05,42.993,43.097,43.782,39.748,46.446
2024-12-21,Yelahanka,38.22,37.98,38.592,42.977,35.243,41.941
2024-12-21,BTM Layout,39.42,39.455,39.405,41.491,36.056,42.754
2024-12-22,Whitefield,40.82,40.57,40.842,42.279,37.493,44.191
2024-12-22,Koramangala,45.02,44.421,45.017,44.894,41.668,48.366
2024-12-22,Jayanagar,44.09,43.786,44.063,44.348,40.714,47.412
2024-12-22,Rajajinagar,39.12,39.066,39.152,42.951,35.803,42.501
2024-12-22,Hebbal,39.42,39.518,39.524,41.904,36.175,42.873
2024-12-22,Electronic City,40.81,40.585,40.695,42.567,37.346,44.044
2024-12-22,Marathahalli,37.94,37.868,37.618,41.79,34.269,40.967
2024-12-22,Indiranagar,45.7,45.48,45.468,45.643,42.119,48.817
2024-12-22,Yelahanka,39.22,39.066,39.253,41.904,35.904,42.602
2024-12-22,BTM Layout,40.3,40.221,40.237,41.239,36.888,43.586
2024-12-23,Whitefield,41.51,41.331,41.584,43.417,38.235,44.933
2024-12-23,Koramangala,39.03,38.921,39.155,43.009,35.806,42.504
2024-12-23,Jayanagar,39.57,39.672,39.527,43.009,36.178,42.876
2024-12-23,Rajajinagar,37.87,37.747,37.982,40.238,34.633,41.331
2024-12-23,Hebbal,38.34,38.257,38.615,42.946,35.266,41.964
2024-12-23,Electronic City,41.18,41.056,41.175,43.056,37.826,44.524
2024-12-23,Marathahalli,40.52,40.364,40.553,42.225,37.204,43.902
2024-12-23,Indiranagar,36.01,35.842,37.429,42.907,34.08,40.778
2024-12-23,Yelahanka,36.34,35.656,36.485,41.867,33.136,39.834
2024-12-23,BTM Layout,41.16,41.045,40.981,41.616,37.632,44.33
2024-12-24,Whitefield,39.47,39.437,39.371,41.864,36.022,42.72
2024-12-24,Koramangala,40.62,40.521,40.353,40.717,37.004,43.702
2024-12-24,Jayanagar,42.68,42.678,42.534,43.901,39.185,45.883
2024-12-24,Rajajinagar,36.77,36.524,37.274,40.497,33.925,40.623
2024-12-24,Hebbal,42.6,42.099,42.514,42.766,39.165,45.863
2024-12-24,Electronic City,46.57,44.529,46.645,46.834,43.296,49.994
2024-12-24,Marathahalli,38.5,38.549,38.401,41.782,35.052,41.75
2024-12-24,Indiranagar,46.93,46.52,47.036,46.226,43.687,50.385
2024-12-24,Yelahanka,39.38,39.361,39.283,40.716,35.934,42.632
2024-12-24,BTM Layout,42.87,42.79,42.867,43.353,39.518,46.216
2024-12-25,Whitefield,41.13,40.789,40.883,41.637,37.534,44.232
2024-12-25,Koramangala,40.14,39.746,39.91,41.523,36.561,43.259
2024-12-25,Jayanagar,43.19,43.102,43.203,44.363,39.854,46.552
2024-12-25,Rajajinagar,41.64,41.48,42.005,43.16,38.656,45.354
2024-12-25,Hebbal,46.36,45.923,46.059,49.278,42.71,49.408
2024-12-25,Electronic City,40.96,40.653,40.766,41.525,37.417,44.115
2024-12-25,Marathahalli,38.08,37.776,37.653,40.911,34.304,41.002
2024-12-25,Indiranagar,40.38,40.02,40.516,41.736,37.167,43.865
2024-12-25,Yelahanka,38.77,38.495,38.423,42.29,35.074,41.772
2024-12-25,BTM Layout,42.99,42.76,42.899,43.948,39.55,46.248
2024-12-26,Whitefield,43.24,42.84,43.36,43.559,40.011,46.709
2024-12-26,Koramangala,39.69,39.693,39.726,42.977,36.377,43.075
2024-12-26,Jayanagar,37.81,37.538,38.354,42.907,35.005,41.703
2024-12-26,Rajajinagar,38.39,38.363,38.245,41.872,34.896,41.594
2024-12-26,Hebbal,39.92,39.987,39.909,43.009,36.56,43.258
2024-12-26,Electronic City,42.12,41.977,42.209,43.335,38.86,45.558
2024-12-26,Marathahalli,44.05,43.905,43.903,43.7,40.554,47.252
2024-12-26,Indiranagar,43.02,42.836,42.917,43.744,39.568,46.266
2024-12-26,Yelahanka,34.57,34.568,36.189,40.491,32.84,39.538
2024-12-26,BTM Layout,43.11,42.414,43.151,43.546,39.802,46.5
2024-12-27,Whitefield,37.56,37.429,37.692,41.505,34.343,41.041
2024-12-27,Koramangala,47.72,46.981,47.512,48.883,44.163,50.861
2024-12-27,Jayanagar,37.95,37.59,38.577,41.854,35.228,41.926
2024-12-27,Rajajinagar,38.39,38.191,38.633,41.935,35.284,41.982
2024-12-27,Hebbal,37.13,37.112,37.522,42.397,34.173,40.871
2024-12-27,Electronic City,38.0,37.909,38.394,42.995,35.045,41.743
2024-12-27,Marathahalli,39.57,39.478,39.357,41.555,36.008,42.706
2024-12-27,Indiranagar,40.15,39.806,39.964,43.031,36.615,43.313
2024-12-27,Yelahanka,43.9,43.539,44.091,43.517,40.742,47.44
2024-12-27,BTM Layout,40.15,40.096,40.692,43.148,37.343,44.041
2024-12-28,Whitefield,36.99,36.385,37.273,41.79,33.924,40.622
2024-12-28,Koramangala,40.6,40.804,40.546,43.106,37.197,43.895
2024-12-28,Jayanagar,40.38,40.326,40.408,42.122,37.059,43.757
2024-12-28,Rajajinagar,43.37,42.97,43.472,43.241,40.123,46.821
2024-12-28,Hebbal,42.53,42.201,42.471,43.268,39.122,45.82
2024-12-28,Electronic City,36.07,35.893,36.969,40.679,33.62,40.318
2024-12-28,Marathahalli,34.44,34.439,36.014,41.92,32.665,39.363
2024-12-28,Indiranagar,32.57,32.102,36.39,41.458,33.041,39.739
2024-12-28,Yelahanka,41.32,41.154,41.199,43.094,37.85,44.548
2024-12-28,BTM Layout,39.1,39.033,39.361,42.954,36.012,42.71
2024-12-29,Whitefield,43.68,43.359,43.711,43.239,40.362,47.06
2024-12-29,Koramangala,39.93,39.981,39.726,41.283,36.377,43.075
2024-12-29,Jayanagar,40.95,41.033,40.902,42.948,37.553,44.251
2024-12-29,Rajajinagar,39.26,39.117,39.455,42.999,36.106,42.804
2024-12-29,Hebbal,40.41,40.011,40.326,41.491,36.977,43.675
2024-12-29,Electronic City,39.07,38.991,38.884,40.8,35.535,42.233
2024-12-29,Marathahalli,38.58,38.094,38.072,41.808,34.723,41.421
2024-12-29,Indiranagar,40.84,40.6,40.738,41.811,37.389,44.087
2024-12-29,Yelahanka,38.0,37.524,38.533,42.852,35.184,41.882
2024-12-29,BTM Layout,35.61,35.45,36.34,40.191,32.991,39.689
2024-12-30,Whitefield,44.07,43.592,43.883,44.225,40.534,47.232
2024-12-30,Koramangala,40.56,40.382,40.432,41.443,37.083,43.781
2024-12-30,Jayanagar,41.13,40.894,40.874,42.64,37.525,44.223
2024-12-30,Rajajinagar,43.71,43.456,44.091,44.888,40.742,47.44
2024-12-30,Hebbal,41.68,41.465,41.664,43.455,38.315,45.013
2024-12-30,Electronic City,40.24,40.166,40.281,40.671,36.932,43.63
2024-12-30,Marathahalli,38.7,38.831,38.667,41.154,35.318,42.016
2024-12-30,Indiranagar,37.35,37.07,38.06,42.844,34.711,41.409
2024-12-30,Yelahanka,42.36,42.004,42.218,42.804,38.869,45.567
2024-12-30,BTM Layout,41.2,40.467,41.1,41.976,37.751,44.449
2024-12-31,Whitefield,37.24,37.072,38.015,42.923,34.666,41.364
2024-12-31,Koramangala,42.47,42.338,43.191,44.696,39.842,46.54
2024-12-31,Jayanagar,36.87,36.858,37.909,42.875,34.56,41.258
2024-12-31,Rajajinagar,39.39,39.426,39.436,43.062,36.087,42.785
2024-12-31,Hebbal,40.5,40.388,40.34,43.023,36.991,43.689
2024-12-31,Electronic City,44.52,44.44,44.487,44.87,41.138,47.836
2024-12-31,Marathahalli,37.85,37.768,38.161,41.751,34.812,41.51
2024-12-31,Indiranagar,44.33,43.111,44.223,44.525,40.874,47.572
2024-12-31,Yelahanka,41.39,41.262,41.442,43.062,38.093,44.791
2024-12-31,BTM Layout,32.22,32.685,35.956,42.905,32.607,39.305
