alert_id,meter_id,zone,alert_timestamp,anomaly_type,severity,anomaly_score,status,estimated_loss_units,assigned_inspector,resolution_timestamp,root_cause,model_version
ALT-000001,BSCM-000396,Electronic City,2024-08-20 08:00:00,Phase Imbalance,High,0.8386,Open,0.0,,,,TheftDetect-v2.1
ALT-000002,BSCM-000049,BTM Layout,2024-05-28 10:00:00,PF Degradation,Medium,0.8719,Open,0.0,,,,TheftDetect-v3.0
ALT-000003,BSCM-000288,Jayanagar,2024-11-13 19:00:00,Communication Loss,Medium,0.6831,Open,0.0,,,,Ensemble-v1
ALT-000004,BSCM-000455,Indiranagar,2024-06-10 09:00:00,Communication Loss,High,0.9706,Open,0.0,,,,TheftDetect-v2.1
ALT-000005,BSCM-000033,Jayanagar,2023-03-30 04:00:00,Overcurrent,Critical,0.8472,Open,0.0,,,,TheftDetect-v3.0
ALT-000006,BSCM-000086,Koramangala,2024-02-21 12:00:00,Communication Loss,High,0.6004,Investigating,0.0,INS-0001,,,TheftDetect-v2.1
ALT-000007,BSCM-000179,Yelahanka,2023-08-08 19:00:00,Communication Loss,Critical,0.563,Resolved,0.0,INS-0007,2023-08-11T23:00:00,External surge,Ensemble-v1
ALT-000008,BSCM-000435,Marathahalli,2023-10-01 01:00:00,Energy Theft,Low,0.7611,Open,381.77,,,,Ensemble-v1
ALT-000009,BSCM-000110,Hebbal,2024-11-25 13:00:00,Phase Imbalance,Low,0.6259,Resolved,0.0,INS-0013,2024-11-27T01:00:00,Phase cut,TheftDetect-v3.0
ALT-000010,BSCM-000464,Indiranagar,2023-10-04 13:00:00,Phase Imbalance,Low,0.9129,Resolved,0.0,INS-0018,2023-10-05T15:00:00,,Ensemble-v1
ALT-000011,BSCM-000498,Indiranagar,2024-11-12 16:00:00,Voltage Sag,Medium,0.9683,Open,0.0,,,,TheftDetect-v2.1
ALT-000012,BSCM-000107,Hebbal,2023-01-05 00:00:00,Phase Imbalance,Low,0.9834,Resolved,0.0,INS-0013,2023-01-07T01:00:00,External surge,TheftDetect-v3.0
