dq_id,meter_id,zone,date,expected_readings,received_readings,missing_readings,completeness_pct,null_values,out_of_range_values,duplicate_readings,avg_latency_ms,comms_failures,quality_score
DQ-0000001,BSCM-000001,Electronic City,2023-03-11,24,24,0,100.0,0,0,0,2114.3,5,0.9848
DQ-0000002,BSCM-000001,Electronic City,2024-10-04,24,24,0,100.0,0,1,0,2028.9,4,0.9933
DQ-0000003,BSCM-000001,Electronic City,2024-02-06,24,24,0,100.0,0,2,0,901.2,5,0.9621
DQ-0000004,BSCM-000001,Electronic City,2023-01-12,24,24,0,100.0,0,1,0,2123.5,1,0.8542
DQ-0000005,BSCM-000001,Electronic City,2024-09-22,24,24,0,100.0,0,0,0,830.0,3,0.9871
DQ-0000006,BSCM-000001,Electronic City,2023-10-05,24,21,3,87.5,2,1,0,1377.2,2,0.8025
DQ-0000007,BSCM-000001,Electronic City,2024-12-24,24,24,0,100.0,0,1,0,2161.4,3,0.9226
DQ-0000008,BSCM-000001,Electronic City,2023-07-11,24,24,0,100.0,0,0,0,1943.4,5,0.9604
DQ-0000009,BSCM-000001,Electronic City,2023-09-16,24,24,0,100.0,0,0,0,1803.6,4,0.8776
DQ-0000010,BSCM-000001,Electronic City,2023-08-22,24,24,0,100.0,0,2,0,1649.5,4,0.9941
DQ-0000011,BSCM-000001,Electronic City,2024-10-06,24,21,3,87.5,1,2,0,1394.8,1,0.9616
DQ-0000012,BSCM-000001,Electronic City,2023-05-10,24,21,3,87.5,0,2,1,1943.1,5,0.8833
DQ-0000013,BSCM-000001,Electronic City,2024-07-08,24,24,0,100.0,0,2,0,1740.9,0,0.8685
DQ-0000014,BSCM-000001,Electronic City,2024-08-20,24,24,0,100.0,0,2,0,2497.0,4,0.9389
DQ-0000015,BSCM-000001,Electronic City,2023-11-13,24,21,3,87.5,1,1,0,2356.7,4,0.9952
DQ-0000016,BSCM-000001,Electronic City,2023-06-02,24,24,0,100.0,0,1,0,2113.6,5,0.9021
DQ-0000017,BSCM-000001,Electronic City,2024-09-27,24,18,6,75.0,2,2,0,78.5,0,0.8891
DQ-0000018,BSCM-000001,Electronic City,2023-05-24,24,23,1,95.83,1,2,0,2134.8,3,0.8455
DQ-0000019,BSCM-000001,Electronic City,2024-06-21,24,24,0,100.0,0,0,0,2219.8,1,0.8599
DQ-0000020,BSCM-000001,Electronic City,2023-08-29,24,22,2,91.67,0,1,0,405.4,0,0.9912
DQ-0000021,BSCM-000001,Electronic City,2024-04-21,24,23,1,95.83,1,1,0,320.7,2,0.8288
