forecast_id,zone,forecast_date,model_name,forecast_mw,actual_mw,p10_mw,p90_mw,mape_pct,peak_hour,peak_forecast_mw,horizon_hours,run_timestamp,p50_mw,p5_mw,p95_mw,confidence_level,model_version,training_data_size,last_retrained_date
FC-000001,Whitefield,2023-01-01,XGBoost-v3,41.91,39.75,36.88,46.94,5.434,21,56.58,24,2022-12-31 20:00:00,41.91,34.62,49.2,0.946,3.2.1,43029,2022-12-01
FC-000002,Koramangala,2023-01-01,LSTM-v2,41.28,44.16,36.33,46.23,6.522,19,55.73,24,2022-12-31 23:00:00,41.28,34.1,48.46,0.935,2.1.0,43118,2022-11-30
FC-000003,Jayanagar,2023-01-01,Ensemble-v4,41.02,41.41,36.1,45.94,0.942,9,55.38,24,2022-12-31 22:00:00,41.02,33.89,48.15,0.991,4.1.0,42910,2022-11-29
FC-000004,Rajajinagar,2023-01-01,XGBoost-v3,44.37,42.31,39.05,49.69,4.869,21,59.9,24,2022-12-31 23:00:00,44.37,36.66,52.08,0.951,3.2.1,43114,2022-11-28
FC-000005,Hebbal,2023-01-01,Ensemble-v4,36.35,37.43,31.99,40.71,2.885,10,49.07,24,2022-12-31 21:00:00,36.35,30.03,42.67,0.971,4.1.0,42574,2022-11-27
FC-000006,Electronic City,2023-01-01,LSTM-v2,43.3,42.7,38.1,48.5,1.405,9,58.45,24,2022-12-31 18:00:00,43.3,35.76,50.84,0.986,2.1.0,43473,2022-11-26
FC-000007,Marathahalli,2023-01-01,XGBoost-v3,31.88,33.78,28.05,35.71,5.625,18,43.04,24,2022-12-31 23:00:00,31.88,26.33,37.43,0.944,3.2.1,43224,2022-11-25
FC-000008,Indiranagar,2023-01-01,LSTM-v2,43.43,40.7,38.22,48.64,6.708,10,58.63,24,2022-12-31 21:00:00,43.43,35.88,50.98,0.933,2.1.0,43120,2022-11-24
FC-000009,Yelahanka,2023-01-01,XGBoost-v3,40.88,41.6,35.97,45.79,1.731,10,55.19,24,2022-12-31 19:00:00,40.88,33.76,48.0,0.983,3.2.1,42910,2022-11-23
FC-000010,BTM Layout,2023-01-01,LSTM-v2,38.35,36.98,33.75,42.95,3.705,18,51.77,24,2022-12-31 22:00:00,38.35,31.68,45.02,0.963,2.1.0,42897,2022-11-22
FC-000011,Whitefield,2023-01-02,Ensemble-v4,42.74,43.52,37.61,47.87,1.792,9,57.7,24,2023-01-01 22:00:00,42.74,35.3,50.18,0.982,4.1.0,43029,2022-11-22
FC-000012,Koramangala,2023-01-02,LSTM-v2,36.13,38.15,31.79,40.47,5.295,20,48.78,24,2023-01-01 23:00:00,36.13,29.84,42.42,0.947,2.1.0,43118,2022-11-21
FC-000013,Jayanagar,2023-01-02,Ensemble-v4,42.39,40.69,37.3,47.48,4.178,18,57.23,24,2023-01-01 18:00:00,42.39,35.01,49.77,0.958,4.1.0,42910,2022-11-20
FC-000014,Rajajinagar,2023-01-02,LSTM-v2,39.3,41.41,34.58,44.02,5.095,21,53.05,24,2023-01-01 18:00:00,39.3,32.46,46.14,0.949,2.1.0,43114,2022-11-19
FC-000015,Hebbal,2023-01-02,LSTM-v2,42.28,39.74,37.21,47.35,6.392,21,57.08,24,2023-01-01 18:00:00,42.28,34.93,49.63,0.936,2.1.0,42574,2022-11-18
FC-000016,Electronic City,2023-01-02,Ensemble-v4,37.78,35.99,33.25,42.31,4.974,18,51.0,24,2023-01-01 23:00:00,37.78,31.21,44.35,0.95,4.1.0,43473,2022-11-17
FC-000017,Marathahalli,2023-01-02,Ensemble-v4,43.82,44.85,38.56,49.08,2.297,21,59.16,24,2023-01-01 18:00:00,43.82,36.19,51.45,0.977,4.1.0,43224,2022-11-16
FC-000018,Indiranagar,2023-01-02,LSTM-v2,41.97,41.75,36.93,47.01,0.527,18,56.66,24,2023-01-01 22:00:00,41.97,34.66,49.28,0.995,2.1.0,43120,2022-11-15
FC-000019,Yelahanka,2023-01-02,LSTM-v2,47.19,44.41,41.53,52.85,6.26,9,63.71,24,2023-01-01 23:00:00,47.19,38.98,55.4,0.937,2.1.0,42910,2022-11-14
FC-000020,BTM Layout,2023-01-02,Prophet-v1,35.51,36.44,31.25,39.77,2.552,9,47.94,24,2023-01-01 22:00:00,35.51,29.33,41.69,0.974,1.4.3,42897,2022-11-13
