alert_id,meter_id,zone,alert_timestamp,anomaly_type,severity,anomaly_score,status,estimated_loss_units,assigned_inspector,resolution_timestamp,root_cause,model_version,detector_vae_score,detector_eif_score,detector_bocpd_flag,detector_gnn_score,num_detectors_agreeing,shap_feature_1_name,shap_feature_2_name,shap_feature_3_name,shap_feature_1_value,shap_feature_2_value,shap_feature_3_value,suspected_theft_modality,consumption_drop_pct,estimated_daily_loss_inr,recommended_action,days_since_meter_install,alert_reason_code
ALT-000001,BSCM-000396,Electronic City,2024-08-20 08:00:00,Phase Imbalance,High,0.8386,Open,0.0,,,,TheftDetect-v2.1,0.8684,0.9331,True,0.8178,4,z_score_vs_peer,night_ratio,power_factor,0.223,0.1297,0.1109,phase_cut,70.19,134.33,Dispatch three-phase inspection and validate phase current balance.,1313,PHASE_CURRENT_MISMATCH
ALT-000002,BSCM-000049,BTM Layout,2024-05-28 10:00:00,PF Degradation,Medium,0.8719,Open,0.0,,,,TheftDetect-v3.0,0.8636,0.8217,True,0.6667,4,load_factor_day,pct_change_1d,voltage_v,0.2252,0.1353,0.1007,meter_slowdown,73.88,230.24,Run accuracy test and compare against calibrated reference meter.,1298,PEER_DEVIATION_LOW_USAGE
ALT-000003,BSCM-000288,Jayanagar,2024-11-13 19:00:00,Communication Loss,Medium,0.6831,Open,0.0,,,,Ensemble-v1,0.722,0.6867,False,0.6807,3,night_ratio,power_factor,communication_ok,0.1697,0.154,0.0982,meter_slowdown,65.3,116.28,Run accuracy test and compare against calibrated reference meter.,1067,PEER_DEVIATION_LOW_USAGE
ALT-000004,BSCM-000455,Indiranagar,2024-06-10 09:00:00,Communication Loss,High,0.9706,Open,0.0,,,,TheftDetect-v2.1,1.0,0.9747,True,0.8586,4,pct_change_1d,voltage_v,z_score_vs_peer,0.2154,0.1715,0.1204,meter_slowdown,84.45,398.17,Run accuracy test and compare against calibrated reference meter.,1297,PEER_DEVIATION_LOW_USAGE
ALT-000005,BSCM-000033,Jayanagar,2023-03-30 04:00:00,Overcurrent,Critical,0.8472,Open,0.0,,,,TheftDetect-v3.0,0.8332,0.8071,True,0.8196,4,power_factor,communication_ok,load_factor_day,0.1869,0.1852,0.0853,meter_slowdown,65.72,337.87,Run accuracy test and compare against calibrated reference meter.,804,PEER_DEVIATION_LOW_USAGE
ALT-000006,BSCM-000086,Koramangala,2024-02-21 12:00:00,Communication Loss,High,0.6004,Investigating,0.0,INS-0001,,,TheftDetect-v2.1,0.5864,0.4906,False,0.6147,1,voltage_v,z_score_vs_peer,night_ratio,0.1512,0.0861,0.0854,meter_slowdown,50.49,202.64,Run accuracy test and compare against calibrated reference meter.,1111,PEER_DEVIATION_LOW_USAGE
ALT-000007,BSCM-000179,Yelahanka,2023-08-08 19:00:00,Communication Loss,Critical,0.563,Resolved,0.0,INS-0007,2023-08-11T23:00:00,External surge,Ensemble-v1,0.6578,0.5888,False,0.6411,1,communication_ok,load_factor_day,pct_change_1d,0.1141,0.0884,0.0659,meter_slowdown,55.24,229.78,Run accuracy test and compare against calibrated reference meter.,1298,PEER_DEVIATION_LOW_USAGE
ALT-000008,BSCM-000435,Marathahalli,2023-10-01 01:00:00,Energy Theft,Low,0.7611,Open,381.77,,,,Ensemble-v1,0.8071,0.7562,True,0.7917,4,z_score_vs_peer,night_ratio,power_factor,0.1204,0.0951,0.0778,bypass,68.99,3054.16,Dispatch inspector to verify bypass wiring and photograph service entry.,781,THEFT_BYPASS_SIGNATURE
ALT-000009,BSCM-000110,Hebbal,2024-11-25 13:00:00,Phase Imbalance,Low,0.6259,Resolved,0.0,INS-0013,2024-11-27T01:00:00,Phase cut,TheftDetect-v3.0,0.5977,0.6659,True,0.6763,3,load_factor_day,pct_change_1d,voltage_v,0.15,0.084,0.073,phase_cut,52.39,278.48,Dispatch three-phase inspection and validate phase current balance.,1752,PHASE_CURRENT_MISMATCH
ALT-000010,BSCM-000464,Indiranagar,2023-10-04 13:00:00,Phase Imbalance,Low,0.9129,Resolved,0.0,INS-0018,2023-10-05T15:00:00,,Ensemble-v1,0.9455,0.8702,True,0.927,4,night_ratio,power_factor,communication_ok,0.1726,0.1841,0.1171,phase_cut,78.4,175.75,Dispatch three-phase inspection and validate phase current balance.,1237,PHASE_CURRENT_MISMATCH
