audit_id,meter_id,zone,action_timestamp,action_type,inspector_id,outcome,remarks,fine_inr,follow_up_date,related_alert_id
AUD-0000001,BSCM-000443,BTM Layout,2023-10-28 16:00:00,FIR Filed,INS-0018,Pass,Normal reading verified,0.0,,ALT-000228
AUD-0000002,BSCM-000016,Koramangala,2024-05-27 19:00:00,Meter Replacement,INS-0007,Pending,Consumer cooperative,0.0,2024-06-22,
AUD-0000003,BSCM-000081,Electronic City,2023-08-31 09:00:00,Physical Audit,INS-0013,Pass,Normal reading verified,0.0,,
AUD-0000004,BSCM-000422,Rajajinagar,2023-05-08 06:00:00,Reconnection,INS-0006,Fail,Seal broken — theft suspected,0.0,,
AUD-0000005,BSCM-000402,Rajajinagar,2023-12-08 20:00:00,Seal Verification,INS-0001,Fail,No access to premises,0.0,,
AUD-0000006,BSCM-000183,BTM Layout,2024-10-05 23:00:00,Reconnection,INS-0012,Pending,Seal broken — theft suspected,0.0,2024-11-28,
AUD-0000007,BSCM-000225,Indiranagar,2023-05-14 04:00:00,Seal Verification,INS-0012,Pass,,0.0,,
AUD-0000008,BSCM-000188,Rajajinagar,2023-07-10 07:00:00,Meter Replacement,INS-0015,Pass,Bypass wire found,0.0,,
AUD-0000009,BSCM-000117,Indiranagar,2023-08-11 15:00:00,Reconnection,INS-0020,Fail,Normal reading verified,0.0,,
AUD-0000010,BSCM-000301,BTM Layout,2024-10-30 11:00:00,Reconnection,INS-0016,Pending,Bypass wire found,0.0,2024-12-11,
AUD-0000011,BSCM-000027,Yelahanka,2023-01-28 06:00:00,Reconnection,INS-0009,Escalated,Bypass wire found,0.0,2023-03-26,
AUD-0000012,BSCM-000412,Yelahanka,2023-06-21 22:00:00,Disconnection Order,INS-0016,Pass,Meter dead — replaced,0.0,,
AUD-0000013,BSCM-000439,Indiranagar,2023-05-02 08:00:00,Field Inspection,INS-0007,Pass,Meter dead — replaced,0.0,,ALT-002628
AUD-0000014,BSCM-000127,Jayanagar,2023-08-22 13:00:00,Physical Audit,INS-0009,Fail,Normal reading verified,0.0,,
AUD-0000015,BSCM-000217,Marathahalli,2023-06-08 20:00:00,Disconnection Order,INS-0010,Pass,Consumer cooperative,0.0,,
AUD-0000016,BSCM-000155,Jayanagar,2023-01-13 18:00:00,Reconnection,INS-0019,Pending,Bypass wire found,0.0,2023-02-07,
AUD-0000017,BSCM-000004,Whitefield,2023-12-19 14:00:00,Tariff Update,INS-0018,Pass,,0.0,,
