metric_id,model_name,model_version,evaluation_date,metric_type,metric_value,dataset_size,training_date,feature_drift_psi,distribution_shift_detected,notes
MET-000001,LSTM-v2,2.1.0,2024-01-01,mape_pct,0.0344,50533,2023-11-09,0.0683,False,Stable performance
MET-000002,LSTM-v2,2.1.0,2024-01-01,f1_score,0.7772,50533,2023-11-09,0.0683,False,Stable performance
MET-000003,LSTM-v2,2.1.0,2024-01-01,precision,0.8068,50533,2023-11-09,0.0683,False,Stable performance
MET-000004,LSTM-v2,2.1.0,2024-01-01,recall,0.6915,50533,2023-11-09,0.0683,False,Stable performance
MET-000005,LSTM-v2,2.1.0,2024-01-01,auc_roc,0.9021,50533,2023-11-09,0.0683,False,Stable performance
MET-000006,LSTM-v2,2.1.0,2024-01-01,rmse,2.1288,50533,2023-11-09,0.0683,False,Stable performance
MET-000007,LSTM-v2,2.1.0,2024-01-01,coverage,0.8538,50533,2023-11-09,0.0683,False,Stable performance
MET-000008,LSTM-v2,2.1.0,2024-01-01,latency_p99,134.9917,50533,2023-11-09,0.0683,False,Stable performance
MET-000009,LSTM-v2,2.1.0,2024-01-01,false_positive_rate,0.1323,50533,2023-11-09,0.0683,False,Stable performance
MET-000010,XGBoost-v3,3.2.1,2024-01-01,mape_pct,0.0298,50892,2023-10-31,0.0283,False,Stable performance
MET-000011,XGBoost-v3,3.2.1,2024-01-01,f1_score,0.7793,50892,2023-10-31,0.0283,False,Stable performance
MET-000012,XGBoost-v3,3.2.1,2024-01-01,precision,0.8322,50892,2023-10-31,0.0283,False,Stable performance
MET-000013,XGBoost-v3,3.2.1,2024-01-01,recall,0.7159,50892,2023-10-31,0.0283,False,Stable performance
MET-000014,XGBoost-v3,3.2.1,2024-01-01,auc_roc,0.8944,50892,2023-10-31,0.0283,False,Stable performance
MET-000015,XGBoost-v3,3.2.1,2024-01-01,rmse,1.8586,50892,2023-10-31,0.0283,False,Stable performance
MET-000016,XGBoost-v3,3.2.1,2024-01-01,coverage,0.8459,50892,2023-10-31,0.0283,False,Stable performance
MET-000017,XGBoost-v3,3.2.1,2024-01-01,latency_p99,118.4946,50892,2023-10-31,0.0283,False,Stable performance
MET-000018,XGBoost-v3,3.2.1,2024-01-01,false_positive_rate,0.1263,50892,2023-10-31,0.0283,False,Stable performance
MET-000019,TFT-v1,1.0.0,2024-01-01,mape_pct,0.0357,50450,2023-11-17,0.0597,False,Stable performance
MET-000020,TFT-v1,1.0.0,2024-01-01,f1_score,0.7733,50450,2023-11-17,0.0597,False,Stable performance
MET-000021,TFT-v1,1.0.0,2024-01-01,precision,0.7997,50450,2023-11-17,0.0597,False,Stable performance
MET-000022,TFT-v1,1.0.0,2024-01-01,recall,0.7091,50450,2023-11-17,0.0597,False,Stable performance
MET-000023,TFT-v1,1.0.0,2024-01-01,auc_roc,0.9029,50450,2023-11-17,0.0597,False,Stable performance
MET-000024,TFT-v1,1.0.0,2024-01-01,rmse,1.9904,50450,2023-11-17,0.0597,False,Stable performance
MET-000025,TFT-v1,1.0.0,2024-01-01,coverage,0.8599,50450,2023-11-17,0.0597,False,Stable performance
MET-000026,TFT-v1,1.0.0,2024-01-01,latency_p99,142.0134,50450,2023-11-17,0.0597,False,Stable performance
MET-000027,TFT-v1,1.0.0,2024-01-01,false_positive_rate,0.1367,50450,2023-11-17,0.0597,False,Stable performance
MET-000028,Ensemble-v4,4.1.0,2024-01-01,mape_pct,0.0396,51026,2023-11-16,0.0548,False,Stable performance
MET-000029,Ensemble-v4,4.1.0,2024-01-01,f1_score,0.7678,51026,2023-11-16,0.0548,False,Stable performance
MET-000030,Ensemble-v4,4.1.0,2024-01-01,precision,0.8028,51026,2023-11-16,0.0548,False,Stable performance
MET-000031,Ensemble-v4,4.1.0,2024-01-01,recall,0.6673,51026,2023-11-16,0.0548,False,Stable performance
MET-000032,Ensemble-v4,4.1.0,2024-01-01,auc_roc,0.8925,51026,2023-11-16,0.0548,False,Stable performance
MET-000033,Ensemble-v4,4.1.0,2024-01-01,rmse,1.9187,51026,2023-11-16,0.0548,False,Stable performance
MET-000034,Ensemble-v4,4.1.0,2024-01-01,coverage,0.8645,51026,2023-11-16,0.0548,False,Stable performance
MET-000035,Ensemble-v4,4.1.0,2024-01-01,latency_p99,138.3357,51026,2023-11-16,0.0548,False,Stable performance
MET-000036,Ensemble-v4,4.1.0,2024-01-01,false_positive_rate,0.1074,51026,2023-11-16,0.0548,False,Stable performance
